sample_index,phase,region_id,displacement_model,point_count,displacement_norm_min,displacement_norm_max,displacement_norm_mean,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,mantle_radius_scale,mantle_radius_rate,volume_scale,volume_rate,aperture_scale,aperture_rate,diagnostic_only,apply_to_driver,apply_to_lbm,apply_to_mpm,apply_to_projection,update_dynamic_solid,driver_integration_enabled,finite_pass,bounds_pass,scope_note
15,0.1875,mantle_cavity_proxy,volume_scale_proxy,100,0.0019469424167820157,0.008503211525044135,0.0055481749638786985,0.42812746543659436,0.5223136374254511,0.4568764792619566,0.5718725345634057,0.6948077203776247,0.5431235207380434,0.9169779518950437,-0.6384839650145864,0.7786078717201166,-1.7026239067055435,1.0,-7.105427357601002e-15,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
15,0.1875,funnel_outlet_proxy,aperture_scale_proxy,8,0.02209708691207961,0.02209708691207961,0.02209708691207961,0.46875,0.390625,0.46875,0.53125,0.421875,0.53125,0.9169779518950437,-0.6384839650145864,0.7786078717201166,-1.7026239067055435,1.0,-7.105427357601002e-15,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
16,0.2,mantle_outer,radial_scale_proxy,648,0.0025691596208198483,0.015759237190184246,0.011920749013988355,0.37201741505100505,0.3740210744760695,0.4024212074037007,0.627982584948995,0.7824727317387421,0.5975787925962993,0.9090379008746355,-0.6286443148688079,0.7574344023323615,-1.6763848396501473,1.0,0.0,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
16,0.2,mantle_cavity_proxy,volume_scale_proxy,100,0.002151679153078742,0.009397392965990759,0.006131610418731655,0.42878496272889344,0.523017001728861,0.45727097763733604,0.5712150372711066,0.6939330911795168,0.542729022362664,0.9090379008746355,-0.6286443148688079,0.7574344023323615,-1.6763848396501473,1.0,0.0,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
16,0.2,funnel_outlet_proxy,aperture_scale_proxy,8,0.02209708691207961,0.02209708691207961,0.02209708691207961,0.46875,0.390625,0.46875,0.53125,0.421875,0.53125,0.9090379008746355,-0.6286443148688079,0.7574344023323615,-1.6763848396501473,1.0,0.0,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
17,0.21250000000000002,mantle_outer,radial_scale_proxy,648,0.0027887888011453445,0.017106443614645618,0.012939815448627687,0.37309817439055165,0.3752731202057696,0.40342962717724423,0.6269018256094484,0.781241528217009,0.5965703728227557,0.9012618440233235,-0.6122448979591795,0.7366982507288629,-1.6326530612244845,1.0,7.105427357601002e-15,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
17,0.21250000000000002,mantle_cavity_proxy,volume_scale_proxy,100,0.002355919462538659,0.010289406277893754,0.006713631212871669,0.42944086578213736,0.5237186605790993,0.45766451946928244,0.5705591342178626,0.6930605827019696,0.5423354805307176,0.9012618440233235,-0.6122448979591795,0.7366982507288629,-1.6326530612244845,1.0,7.105427357601002e-15,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
17,0.21250000000000002,funnel_outlet_proxy,aperture_scale_proxy,8,0.02209708691207961,0.02209708691207961,0.02209708691207961,0.46875,0.390625,0.46875,0.53125,0.421875,0.53125,0.9012618440233235,-0.6122448979591795,0.7366982507288629,-1.6326530612244845,1.0,7.105427357601002e-15,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
18,0.225,mantle_outer,radial_scale_proxy,648,0.0030014701339385716,0.018411031909686397,0.013926644280765236,0.37414474450670304,0.3764855581619466,0.40440614614951576,0.625855255493297,0.7800492731370882,0.5955938538504842,0.893731778425656,-0.5892857142857224,0.7166180758017493,-1.57142857142858,1.0,-7.105427357601002e-15,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
18,0.225,mantle_cavity_proxy,volume_scale_proxy,100,0.00255738464034753,0.011169299287092732,0.00728774375260463,0.4300878566998294,0.5244107855832095,0.4580527140198976,0.5699121433001706,0.692199929503619,0.5419472859801023,0.893731778425656,-0.5892857142857224,0.7166180758017493,-1.57142857142858,1.0,-7.105427357601002e-15,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
